Name	Pos-m/z	RT	Adduct	Formula
DG 33:1(d7)|DG 15:0_18:1(d7)	605.58	17.97	[M+NH4]+	C36H61[2H]7O5
PC 33:1(d7)|PC 15:0_18:1(d7)	753.61	15.03	[M+H]+	C41H73[2H]7NO8P
PE 33:1(d7)|PE 15:0_18:1(d7)	711.57	15.35	[M+H]+	C38H67[2H]7NO8P
SM 36:2;O2(d9)|SM 18:1;O2/18:1(d9)	738.65	13.85	[M+H]+	C41H72[2H]9N2O6P
TG 48:1(d7)|TG 15:0_18:1(d7)_15:0	829.8	24.73	[M+NH4]+	C51H89[2H]7O6
Cer C15 -d7	531.55	14.54	[M+H]+	C33H58[2H]7NO3
PI 33:1(d7) |PI 15:0_18:1(d7)	847.6	13.48	[M+NH4]+	C42H72[2H]7O13P
PS 33:1(d7) |PS 15:0_18:1(d7)	755.56	13.67	[M+H]+	C39H67[2H]7NO10P
PG 33:1(d7) |PG 15:0_18:1(d7)	759.59	13.97	[M+NH4]+	C39H68[2H]7O10P
PC 28:0	678.51	11.62	[M+H]+	C36H72NO8P
PC 29:0	692.52	12.67	[M+H]+	C37H74NO8P
PC 30:0	706.54	13.79	[M+H]+	C38H76NO8P
PC 30:1	704.52	13.09	[M+H]+	C38H74NO8P
PC 31:0	720.55	14.84	[M+H]+	C39H78NO8P
PC 31:1	718.54	13.84	[M+H]+	C39H76NO8P
PC 32:0	734.57	15.9	[M+H]+	C40H80NO8P
PC 32:1	732.55	14.23	[M+H]+	C40H78NO8P
PC 32:2	730.54	13.09	[M+H]+	C40H74NO8P
PC 34:0 	762.6	17.61	[M+H]+	C42H84NO8P
PC 34:1	760.59	16.09	[M+H]+	C42H82NO8P
PC 34:2 	758.57	14.59	[M+H]+	C42H80NO8P
PC 34:3	756.55	13.3	[M+H]+	C42H78NO8P
PC 34:4	754.54	11.8	[M+H]+	C42H76NO8P
PC 35:1	774.6	17	[M+H]+	C43H84NO8P
PC 35:2	772.59	15.32	[M+H]+	C43H82NO8P
PC 35:3	770.57	14.05	[M+H]+	C43H80NO8P
PC 36:1	788.62	17.77	[M+H]+	C44H86NO8P
PC 36:2 	786.6	16.26	[M+H]+	C44H84NO8P
PC 36:3 	784.59	14.78	[M+H]+	C44H84NO8P
PC 36:4 	782.57	13.3	[M+H]+	C44H80NO8P
PC 36:5	780.55	11.8	[M+H]+	C44H78NO8P
PC 36:6	778.54	10.3	[M+H]+	C44H76NO8P
PC 37:2	800.62	17.05	[M+H]+	C45H86NO8P
PC 37:3	798.6	15.55	[M+H]+	C45H84NO8P
PC 37:5	794.57	12.55	[M+H]+	C45H80NO8P
PC 38:1	816.65	19.09	[M+H]+	C46H90NO8P
PC 38:2	814.63	17.76	[M+H]+	C46H88NO8P
PC 38:3	812.62	16.3	[M+H]+	C46H86NO8P
PC 38:4	810.6	14.62	[M+H]+	C46H84NO8P
PC 38:5	808.59	13.3	[M+H]+	C46H82NO8P
PC 38:6	806.57	11.8	[M+H]+	C46H80NO8P
PC 38:7	804.55	10.2	[M+H]+	C46H80NO8P
PC 40:2	804.55	19.09	[M+H]+	C48H92NO8P
PC 40:3	840.65	17.8	[M+H]+	C48H90NO8P
PC 40:4	842.66	16.3	[M+H]+	C48H88NO8P
PC 40:5	838.63	14.8	[M+H]+	C48H86NO8P
PC 40:6	834.6	13.3	[M+H]+	C48H84NO8P
PC 40:7	832.59	11.7	[M+H]+	C48H82NO8P
PC 40:8	830.57	10.2	[M+H]+	C48H80NO8P
PC 40:9	828.55	8.7	[M+H]+	C48H78NO8P
PC O-28:0	664.53	14.21	[M+H]+	C36H74NO7P
PC O-29:0	678.54	14.96	[M+H]+	C37H76NO7P
PC O-30:0	692.56	15.21	[M+H]+	C38H78NO7P
PC O-30:1	690.54	14.21	[M+H]+	C38H76NO7P
PC O-31:0	706.57	16.21	[M+H]+	C39H80NO7P
PC O-32:0	720.59	17.11	[M+H]+	C40H82NO7P
PC O-32:1	718.57	15.66	[M+H]+	C40H80NO7P
